,,,,,план 10,план 11,план 12,план 01,план 02,план 04,Октябрь 2021,,,Ноябрь 2021,,,Декабрь 2021,,,Январь 2022,,,Март 2022,,,Май 2022,,,,Июль 2022,,,Август 2022,,,,,Сентябрь 2022,,,,,Октябрь 2022,,,,,Ноябрь 2022,,,,,Декабрь 2022,,,,,Январь 2023,,,,,Февраль 2023,,,,,Март 2023,,,,,Апрель 2023,,,,,Май 2023,,,,,Июнь 2023,,,,,Июль 2023,,,,Август 2023,,,,,,Сентябрь 2023,,,,,Октябрь 2023,,,,,Ноябрь 2023,,,,,Декабрь 2023,,,,,Январь 2024,,,,,Февраль 2024,,,,Март 2024,,,,Апрель 2024,,,,Май 2024,,,,Июнь 2024,,,,Июль 2024,,,Август 2024,,,,Сентябрь 2024,,,,Октябрь 2024,,,,Ноябрь 2024,,,,Декабрь 2024,,,,Январь 2025,,,,Февраль 2025,,,,Март 2025,,,,Апрель 2025,,,,Май 2025,,,,Июнь 2025,,,,Июль 2025,,,,Август 2025,,,,Сентябрь 2025,,,,Октябрь 2025,,,,Ноябрь 2025,,,,Декабрь 2025,,,,Январь 2026,,,,Февраль 2026,,,,Март 2026,,,,Апрель 2026,,,,Май 2026,,,,Июнь 2026,,,,Июль 2026,,,,Август 2026,,,
Тольятти,https://yandex.ru/maps/org/stalmetural/181035892675/reviews/,"улица ​40 лет Победы, 65Б",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,,0,0,,,,0,0,,0,0,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,0,,,,0,,,,0,,,,0,,1,,0,,2,2,,,2,,-,1,3,"4,2",Инна,,3,"4,2",-,1,4,"4,2",Инна,,4,"4,2",,,4,"4,2",,,4,"4,2",,,4,"4,2",,,4,"4,2",,1,5,"4,3",Иван,,5,"4,3",-,1,6,"4,3",Инна,,6,"4,3",-,,6,"4,3",,,6,"4,3",Иван,,6,"4,3",Иван,1,7,"4,4",Инна,,7,"4,4",,2,9,"4,5",Иван,,9,"4,4",Инна,,9,"4,5",,,9,"4,4",Инна,,9,"4,4",Инна,,9,"4,4",Инна,,9,"4,4",Иван
Барнаул,https://yandex.ru/maps/org/stalmetural/99764580978/reviews/,"улица ​Максима Горького, 22а",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,1,1,,1,0,,,,1,0,1,1,1,2,нет,1,1,1,3,"4,2",2,0,,3,"4,2",2,2,2,5,"4,2",2,1,,6,"4,4",1,2,2,8,"4,5",,,,8,"4,5",,,,8,"4,5",,,,4,"4,3",2,2,1,6,"4,3",2,2,2,8,"4,3",2,2,,10,"4,4",1,1,,11,"4,6",1,1,1,12,"4,6",1,2,14,"4,6",,,14,"4,7",,,13,"4,7",,,13,"4,7",,,13,"4,7",,13,"4,7",,13,"4,7",-,,13,"4,7",-,,13,"4,7",-,,13,"4,7",-,,13,"4,7",-,,13,"4,7",-,,13,"4,7",,,13,"4,7",,,13,"4,7",,,13,"4,7",,,13,"4,7",,,13,"4,7",,1,14,"4,7",Инна,,14,"4,5",,,14,"4,5",-,,14,"4,5",,,14,"4,5",,1,15,"4,5",Инна,1,16,"4,6",Инна,1,17,"4,6",Иван,,17,"4,6",,,17,"4,6",Инна,,17,"4,6",Инна,,17,"4,6",Инна,,17,"4,6",
Ижевск,https://yandex.ru/maps/org/stalmetural/243155492091/reviews/,"улица Ленина, 21",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,,0,0,1,1,,1,0,1,1,2,2,нет,1,0,,2,нет,1,2,2,4,"4,3",2,2,2,6,"4,4",1,,,6,"4,4",1,1,1,7,"4,4",1,1,,8,"4,4",1,1,2,9,"4,3",1,1,1,7,"4,4",1,2,,9,"4,4",2,2,4,11,"4,4",,,,11,"4,6",1,1,,12,"4,6",,,,12,"4,7",,,12,"4,7",,,12,"4,7",,,12,"4,7",,,12,"4,7",,,12,"4,7",,12,"4,7",,12,"4,7",-,,12,"4,7",-,,12,"4,7",-,,12,"4,7",-,,12,"4,7",-,,12,"4,7",-,,12,"4,7",,,12,"4,7",,,12,"4,7",,,12,"4,7",,,12,"4,7",,1,13,"4,7",Иван,,13,"4,7",-,,13,"4,5",,,13,"4,5",,,13,"4,5",,,13,"4,5",,1,14,"4,5",Иван,1,15,"4,6",Инна,1,16,"4,6",Иван,,16,"4,6",,,16,"4,6",Иван,,16,"4,6",Иван,,16,"4,6",,,16,"4,6",
Хабаровск,https://yandex.ru/maps/org/stalmetural/90492027885/reviews/,"улица Владивостокская, 16",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,,0,0,,,,0,0,,0,0,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,0,,,,0,,,,0,,1,0,0,,1,,0,,2,2,,,2,,-,1,3,"4,2",Инна,,3,"4,2",-,,3,"4,2",Инна,1,4,"4,2",Инна,,4,"4,2",,,4,"4,2",,1,5,"4,3",Иван,,5,"4,3",-,,5,"4,3",Инна,,5,"4,3",-,1,6,"4,3",Инна,,6,"4,3",-,,6,"4,3",,1,7,"4,3",Иван,,7,"4,3",-,,7,"4,3",,1,8,"4,3",Иван,2,10,"4,4",Иван,,10,"4,3",Инна,,10,"4,4",,1,11,"4,4",Инна,,11,"4,4",Инна,,11,"4,4",,,11,"4,4",
Ульяновск,https://yandex.ru/maps/org/stalmetural/157111470951/reviews/,"улица Бебеля, 11",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,0,0,,,,0,0,,0,0,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,1,1,1,,1,1,2,0,,,2,,,,2,,,,2,,,2,,,2,,-,1,3,"4,2",Инна,,3,"4,2",-,,3,"4,2",Инна,,3,"4,2",Инна,1,4,"4,2",Инна,,4,"4,2",-,1,5,"4,3",Иван,,5,"4,3",-,,5,"4,3",-,1,6,"4,3",Иван,,6,"4,3",-,,6,"4,3",Инна,,6,"4,3",,1,7,"4,3",Иван,,7,"4,3",-,,7,"4,3",Иван,1,8,,Иван,1,9,,Иван,,9,,Инна,1,10,,Иван,,10,,,,10,,Иван,,10,,Иван,,10,,
Иркутск,https://yandex.ru/maps/org/stalmetural/114272803228/reviews/,"улица ​Советская, 3Б",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,,0,0,1,1,,1,0,1,1,2,2,нет,1,1,1,3,"4,2",2,1,1,4,"4,3",2,0,,4,"4,3",2,2,,6,"4,3",2,0,,6,"4,3",,,,6,"4,3",1,1,1,7,"4,3",1,1,,5,"4,3",2,2,3,7,"4,3",2,3,1,10,"4,3",1,1,,11,"4,5",,,,11,"4,7",,,,11,"4,7",,,11,"4,7",,1,12,"4,7",,,13,"4,7",,,13,"4,7",,,13,"4,7",,13,"4,7",,13,"4,7",-,,13,"4,7",-,,13,"4,7",-,,13,"4,7",-,,13,"4,7",-,,13,"4,7",-,,13,"4,7",,,13,"4,7",,,13,"4,7",,,13,"4,7",,,13,"4,7",,,13,"4,7",,,13,"4,7",Иван,,13,"4,4",,,13,"4,4",-,,13,"4,4",,,13,"4,4",,,13,"4,4",Иван,2,15,"4,5",Инна,1,16,"4,5",Иван,,16,"4,5",Инна,,16,"4,5",Инна,,16,"4,5",Иван,,16,"4,5",,,16,"4,5",
Владивосток,https://yandex.ru/maps/org/stalmetural/69226317142/reviews/,"улица Некрасовская, 49а",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,0,0,,,,0,0,,0,0,0,нет,,,,0,нет,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,0,,,,0,,,,0,,1,0,0,,,2,2,,,2,,,2,,-,,2,,Инна,1,3,"4,2",Инна,,3,"4,2",,,3,"4,2",Инна,,3,"4,2",Инна,,3,"4,2",Инна,,3,,Иван,,3,,-,,3,,-,,3,,,,3,,,,3,,Инна,,3,0,,,3,,-,,3,,,,3,,,,3,,Иван,1,4,"4,2",Инна,1,5,"4,2",Иван,1,6,"4,2",Инна,,6,"4,2",Иван,,6,"4,2",,,6,"4,2",Иван,,6,"4,2",
Ярославль,https://yandex.ru/maps/org/stalmetural/69707249429/reviews/,"улица Угличская, 39",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,,0,0,,,,0,0,,0,0,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,0,,,,0,,,,0,,,,0,,1,,0,,1,1,,,1,,-,,1,,Инна,,1,,Инна,1,2,,Инна,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,1,3,4,Иван,,3,"4,1",,,3,"4,1",Инна,,3,"4,1",-,1,4,4,Иван,,4,4,,2,6,4,Инна,,6,4,Иван,,6,4,Иван,,6,4,,1,7,4,Иван,,7,4,Иван,,7,4,
Севастополь,https://yandex.ru/maps/org/stalmetural/199208306761/reviews/?ll=33.494054%2C44.588789&z=16,"улица Руднева, 35Д",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,0,,,,0,,,,0,,,,0,,1,1,1,,,1,,,1,,-,,1,,Инна,,1,,Инна,,1,,Инна,,1,,Инна,1,2,,Инна,,2,,-,,2,,-,,2,,,,2,,,,2,,,,2,,,1,3,5,Инна,,3,0,,,3,,-,,3,,,,3,,,,3,,,,3,,,1,4,,Иван,2,6,,Инна,1,7,"4,2",Иван,,7,"4,2",Иван,,7,"4,2",Иван,,7,"4,2",
Ставрополь,https://yandex.ru/maps/org/stalmetural/46169435404/reviews/,"​проспект Карла Маркса, 63",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,0,0,,,0,,0,0,,,,0,0,,0,0,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,0,,,,0,,,,0,,,,0,,1,1,1,,,1,,,1,,-,1,2,,Инна,,2,,-,,2,,Инна,1,3,,Инна,,3,,,,3,,,,3,,,,3,,,,3,,,,3,,,,3,,,,3,,,,3,"4,2",,,3,"4,2",,,3,"4,2",,,3,"4,2",,,3,"4,2",,,3,"4,2",,,3,"4,2",Иван,2,5,"4,2",Инна,1,6,"4,3",Иван,,6,"4,3",,,6,"4,3",Инна,,6,"4,3",
Кемерово,https://yandex.ru/maps/org/stalmetural/193160798189/reviews/,"улица 50 лет Октября, 11",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,,0,0,1,1,,1,0,1,1,2,2,нет,,,,2,нет,1,1,1,3,"4,2",2,1,1,4,"4,3",2,3,,7,"4,4",1,1,1,8,"4,5",,,,8,"4,5",,,,8,"4,5",,,1,6,"4,4",1,0,,6,"4,4",2,2,2,8,"4,4",1,1,,9,"4,5",1,1,,10,"4,5",1,0,,10,"4,6",1,1,11,"4,6",1,1,12,"4,6",1,1,11,"4,7",,2,13,"4,7",,,13,"4,7",,13,"4,7",,13,"4,7",-,,13,"4,7",-,,13,"4,7",-,,13,"4,7",-,,13,"4,7",-,,13,"4,7",-,,13,"4,7",,,13,"4,7",,,13,"4,7",,,13,"4,7",,,13,"4,7",,,13,"4,7",,,13,"4,7",Иван,,13,"4,6",,,13,"4,6",-,,13,"4,6",,,13,"4,6",,,13,"4,6",,,13,"4,6",,2,15,"4,6",Иван,1,16,"4,7",Инна,,16,"4,7",Иван,,16,"4,7",,,16,"4,7",,,16,"4,7",
Томск,https://yandex.ru/maps/org/stalmetural/206814184572/reviews/,"​проспект Фрунзе, 25",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,,0,0,1,1,,1,0,1,1,2,2,нет,2,1,1,3,"4,2",2,1,,4,"4,2",2,0,1,4,"4,3",2,2,,6,"4,4",1,1,1,7,"4,4",1,0,,7,"4,4",1,0,,7,"4,4",1,0,,5,"4,4",2,3,,8,"4,3",2,0,1,8,"4,3",2,2,,8,"4,4",1,1,,9,"4,4",2,2,2,11,"4,4",1,1,12,"4,6",2,2,14,"4,5",1,1,11,"4,7",,1,12,"4,6",,1,13,"4,7",,13,"4,7",,13,"4,7",-,,13,"4,7",-,,13,"4,7",-,,13,"4,7",-,,13,"4,7",-,,13,"4,7",-,,13,"4,7",,,13,"4,7",,,13,"4,7",,,13,"4,7",,,13,"4,7",,,13,"4,7",,,13,"4,7",,,13,"4,5",,,13,"4,5",,,13,"4,5",,,13,"4,5",,,13,"4,5",,,13,"4,5",,,13,"4,5",,2,15,"4,6",Иван,,15,"4,6",,1,16,"4,6",Иван,,16,"4,6",Иван,,16,"4,6",
Набережные Челны,https://yandex.ru/maps/org/stalmetural/115566834910/reviews/,"проспект Хасана Туфана, 12",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,,0,0,,,,0,0,,0,0,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,,,,,0,,,,,0,,,,,0,,,,0,,,,0,,,,0,"4,7",,,0,,1,1,1,,,1,,,1,,Инна,1,2,,Инна,,2,,-,,2,,Инна,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,Иван,,2,"4,2",,,2,"4,2",-,,2,"4,2",,,2,"4,2",,,2,"4,2",,,2,"4,2",,,2,"4,2",,1,3,"4,2",Иван,,3,"4,2",,,3,"4,2",Иван,,3,"4,2",Иван,,3,"4,2",
Оренбург,https://yandex.ru/maps/org/stalmetural/121367618818/reviews/,"проспект Победы, 114",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,,0,0,1,1,,1,0,1,1,0,2,нет,,,2,2,нет,1,1,1,3,"4,2",2,2,2,5,"4,3",2,2,,7,"4,4",1,2,2,9,"4,5",,,,9,"4,5",,,,9,"4,5",,,,7,"4,4",1,0,,7,"4,4",2,1,1,8,"4,4",1,2,,10,"4,5",1,2,,12,"4,5",1,1,1,13,"4,6",1,1,14,"4,6",,3,17,"4,7",,,16,"4,8",,,16,"4,8",,,16,"4,8",,16,"4,8",,16,"4,8",-,,16,"4,8",-,,16,"4,8",-,,16,"4,8",-,,16,"4,8",-,,16,"4,8",-,,16,"4,8",,,16,"4,8",,,16,"4,8",,,16,"4,8",,,16,"4,8",,,16,"4,8",,,16,"4,8",,,16,"4,6",,,16,"4,6",,,16,"4,6",,,16,"4,6",,,16,"4,6",,,16,"4,6",,,16,"4,6",,1,17,"4,6",Иван,,17,"4,6",,1,18,"4,6",Иван,,18,"4,6",Иван,,18,"4,6",
Новокузнецк,https://yandex.ru/maps/org/stalmetural/19136488587/reviews/,"​проспект Николая Ермакова, 1к2",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,,0,0,1,1,,1,0,1,1,1,2,нет,,,,2,нет,1,1,1,3,"4,2",2,2,2,5,"4,3",2,2,,7,"4,4",1,1,1,8,"4,5",,,,8,"4,5",,,,8,"4,5",,,,6,"4,4",1,1,,7,"4,4",1,0,1,7,"4,4",2,1,,8,"4,4",1,1,,9,"4,5",1,2,2,11,"4,5",1,1,12,"4,6",,,12,"4,7",,,11,"4,6",,,11,"4,7",,,11,"4,6",,11,"4,6",,11,"4,6",-,,11,"4,6",-,,11,"4,6",-,,11,"4,6",-,,11,"4,6",-,,11,"4,6",-,,11,"4,6",,,11,"4,6",,,11,"4,6",,,11,"4,6",,1,12,"4,6",Иван,,12,"4,6",-,,12,"4,6",Иван,,12,"4,5",,,12,"4,5",-,,12,"4,5",,,12,"4,5",,,12,"4,5",,,12,"4,5",,,12,"4,5",,,12,"4,5",Иван,,12,"4,5",,,12,"4,5",Иван,,12,"4,5",Иван,,12,"4,5",
Рязань,https://yandex.ru/maps/org/stalmetural/106228311300/reviews/,"Московское шоссе, 20",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,0,,,,0,,,,0,"4,7",,,0,,1,1,1,,,1,,,1,,-,1,2,,Инна,,2,,-,1,3,,Инна,,3,,,,3,,,,3,,,,3,,,,3,,,,3,,,,3,,,,3,,,,3,,,,3,"4,2",,,3,"4,2",,,3,"4,2",,,3,"4,2",,,3,"4,2",,,3,"4,2",,,3,"4,2",,1,4,"4,2",Иван,,4,"4,2",,1,5,"4,2",Иван,,5,"4,2",Иван,,5,"4,2",
Чебоксары,https://yandex.ru/maps/org/stalmetural/158032472122/reviews/,"проспект Максима Горького, 18Б",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,,0,0,,,,0,0,,0,0,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,0,,,,0,,,,0,,,,0,,1,1,1,,,1,,1,2,,Инна,,2,,-,1,3,"4,2",Инна,,3,"4,2",,,3,"4,2",,,3,"4,2",,,3,"4,2",,,3,"4,2",Иван,,3,"4,2",Инна,,3,"4,2",-,1,4,"4,2",Иван,,4,"4,2",-,,4,"4,2",Инна,,4,"4,2",,,3,"4,2",Инна,,3,"4,2",-,,3,"4,2",Инна,1,4,"4,3",Инна,,4,"4,3",,,4,"4,3",,1,5,"4,3",Иван,,5,"4,3",,,5,"4,3",Иван,,5,"4,3",Иван,,5,"4,3",
Калининград,https://yandex.ru/maps/org/stalmetural/242745077439/reviews/,"улица ​Фрунзе, 6в",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,,0,0,,,,0,0,,0,0,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,0,,,,0,,,,0,"4,7",1,0,0,,,2,2,,,2,,,2,,-,,2,,Инна,1,3,"4,2",Инна,,3,"4,2",,,3,"4,2",,,3,"4,2",,,3,"4,2",,,3,"4,2",Иван,,3,"4,2",Инна,,3,"4,2",-,1,4,"4,2",Иван,,4,"4,2",-,,4,"4,2",Иван,,4,"4,2",,,4,"4,2",Инна,,4,"4,2",-,,4,"4,2",Иван,,4,"4,2",,,4,"4,2",,,4,"4,2",,1,5,"4,2",Иван,,5,"4,2",,,5,"4,2",Иван,,5,"4,2",Иван,,5,"4,2",
Пенза,https://yandex.ru/maps/org/stalmetural/3917046611/reviews/,"​улица Максима Горького, 34/56",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,0,0,,,0,,0,0,,,,0,0,,0,0,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,0,,,,0,,,,0,,,,0,,1,1,1,,,1,,,1,,-,1,2,,Инна,,2,,-,,2,,Инна,,2,,Инна,1,3,,Инна,,3,,-,,3,,-,,3,,,,3,,,,3,,,,3,,,,3,,,,3,"4,2",,,3,"4,2",,,3,"4,2",,,3,"4,2",,,3,"4,2",,,3,"4,2",,,3,"4,2",,2,5,"4,3",Иван,,5,"4,3",,1,6,"4,3",Инна,,6,"4,3",,,6,"4,3",
Липецк,https://yandex.ru/maps/org/stalmetural/215418235431/reviews/,"площадь Петра Великого, 5",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,,0,0,,,,0,0,,0,0,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,0,,,,0,,,,0,"4,7",,,0,,1,,0,,1,1,,,1,,-,,1,,Инна,1,2,,Инна,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,0,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,1,3,,Иван,,3,,,1,4,,Инна,,4,,,,4,,Инна
Киров,https://yandex.ru/maps/org/stalmetural/195480915352/reviews/,"улица Профсоюзная, 1",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,,0,0,,,,0,0,,0,0,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,0,,,,0,,,,0,"4,7",,,0,,1,1,1,,,1,,,1,,-,1,2,,Инна,,2,,-,,2,,-,,2,,-,,2,,-,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,Инна,,2,,-,,2,0,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,Иван,,2,,,,2,,Инна,,2,,Инна,,2,,
Астрахань,https://yandex.ru/maps/org/stalmetural/159864649139/reviews/,"улица Победы, 41",#REF!,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,1,0,5,,,,1,5,,0,0,1,5,,0,,1,5,,,,1,0,,0,0,1,нет,,,,1,нет,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,1,,,,1,,,,1,,,,1,,,1,2,,,2,,1,3,,Инна,,3,,-,,3,,-,,3,,-,,3,,-,,3,,-,,3,,,,3,,,,3,,,,3,,,,3,,,,3,,,,3,,Инна,1,4,"4,1",Инна,,4,"4,1",-,,4,"4,1",-,,4,"4,1",Иван,,4,"4,1",,,4,"4,1",,1,5,"4,1",Иван,,5,"4,1",,,5,"4,1",Иван,,5,"4,1",,,5,"4,1",Инна,,5,"4,1",
Тула,https://yandex.ru/maps/org/stalmetural/241791752486/reviews/,"проспект Красноармейский, 7",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,0,0,,,,0,0,,0,0,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,0,,,,0,,,,0,,,,0,,1,1,1,,,1,,,1,,-,1,2,,Инна,,2,,-,,2,,-,,2,,-,,2,,-,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,0,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,2,4,,Инна,,4,,,,4,,Инна,,4,,Инна,,4,,
Сочи,https://yandex.ru/maps/org/stalmetural/144807514064/reviews/,"улица ​Навагинская, 7",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,0,0,,,0,,0,0,,,,0,0,,0,0,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,0,,,,0,,,,0,,1,0,0,,,1,1,,,1,,,1,,-,,1,,Инна,,1,,Инна,,1,,Инна,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,0,,1,1,,,,1,,Инна,,1,,,,1,,,,1,,,,1,,,2,3,"4,2",Инна,,3,"4,2",,,3,"4,2",Инна,,3,"4,2",Инна,,3,"4,2",
Курск,https://yandex.ru/maps/org/stalmetural/200358419533/reviews/,"улица Радищева, 5",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,,0,0,,,,0,0,,0,0,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,0,,,,0,,,,0,"4,7",,,0,,1,,0,,1,1,,,1,,-,1,2,,Инна,,2,,-,,2,,-,,2,,-,,2,,-,,2,,,,2,,,,2,,,,2,,,1,3,"4,2",Инна,,3,"4,2",-,,3,"4,2",Инна,,3,"4,3",,,4,"4,3",Инна,,4,"4,3",-,,4,"4,3",,,4,"4,3",,,4,"4,3",,,4,"4,3",,1,5,"4,3",Инна,,5,"4,3",,,5,"4,3",,,5,"4,3",Иван,,5,"4,3",
Сургут,https://yandex.ru/maps/org/stalmetural/96920197977/reviews/,"улица 50 лет ВЛКСМ, 1",#REF!,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,0,,,,,0,,,,,0,0,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,0,,,,0,,,,0,,,,0,,1,1,1,,,1,,,1,,-,,1,,-,,1,,-,,1,,-,,1,,-,,1,,-,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,0,,,1,,,,1,,Иван,,1,,,,1,,,,1,,,,1,,,1,2,,Инна,,2,,,,2,,,,2,,,,2,,
Тверь,https://yandex.ru/maps/org/stalmetural/135893396594reviews/,"улица Новоторжская, 18к1",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,0,0,,,,0,0,,0,0,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,0,,,,0,,,,0,,,,0,,1,1,1,,,1,,,1,,-,,1,,-,,1,,-,,1,,-,,1,,-,,1,,-,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,0,,,1,,,,1,,Инна,,1,,,,1,,,,1,,,,1,,,1,2,,Инна,,2,,,,2,,,,2,,,,2,,
Магнитогорск,https://yandex.ru/maps/org/stalmetural/6832131523/reviews/,"​проспект Ленина, 94а",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,,0,0,,,,0,0,,0,0,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,0,,,,0,,,,0,"4,7",,,0,,1,,0,,1,1,,1,2,,Инна,,2,,-,,2,,-,,2,,-,,2,,-,,2,,-,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,Инна,,2,"4,2",,,2,"4,2",-,,2,"4,2",,,2,"4,2",,,2,"4,2",,,2,"4,2",,,2,"4,2",,,2,"4,2",,,2,"4,2",Иван,1,3,,Иван,,3,,,,3,,
