domain,city,phone_seo,phone_ad,phone_common,all_phones,email,address,country,telegram,whatsapp
petropavlovsk.aviastal.kz,Петропавловск,,,+7 700 6971612,7006971612,petropavlovsk@aviastal.kz,"г. Петропавловск, ул. Ауэзова, 297",Казахстан,,700-770-49-63 (Ватсап)+тг
petropavlovsk-kamchatskij.aviastal.ru,Петропавловск-Камчатский,,,8 (4212) 60-19-28,9620583176,petropavlovsk-kamchatskij@aviastal.ru,"просп. Рыбаков, 13",Россия,,89620583176.0
podolsk.aviastal.ru,Подольск,,,8 (495) 755-36-18,4957553618;9033660443,podolsk@aviastal.ru,"Комсомольская улица, 1​",Россия,,89033660443.0
prokopevsk.aviastal.ru,Прокопьевск,,,"8 (962) 058-31-76
(стар. 8 (3843) 20-99-82)",9620583176,prokopevsk@aviastal.ru,"Ноградская ул., 19",Россия,,89620583176.0
pskov.aviastal.ru,Псков,,,8 (812) 986-43-38,8129864338;9626864338,pskov@aviastal.ru,"ул. Льва Толстого, 1",Россия,,89626864338.0
pushkino.aviastal.ru,Пушкино,,,8 (495) 755-36-18,4957553618;9033660443,pushkino@aviastal.ru,"Писаревский пр., 5В",Россия,,89033660443.0
pyatigorsk.aviastal.ru,Пятигорск,,,"8(903) 411-64-68
(стар. 8 (861) 944-64-68)",9034116468;8619446468,pyatigorsk@aviastal.ru,"ул. Орджоникидзе, 11",Россия,,89034116468.0
ramenskoe.aviastal.ru,Раменское,,,8 (495) 755-36-18,4957553618;9033660443,ramenskoe@aviastal.ru,"Советская ул., 2",Россия,,89033660443.0
reutov.aviastal.ru,Реутов,,,8 (495) 755-36-18,4957553618;9033660443,reutov@aviastal.ru,"Ашхабадская ул., 14",Россия,,89033660443.0
rostov.aviastal.ru,Ростов-на-Дону,7 (863) 221-06-33/903-401-06-33,7 (863) 221-06-33/903-401-06-33,8(863)206-68-85,8632066885;8632210633,rostov@aviastal.ru,"ул. Страны Советов, д. 5Б, офис № 1",Россия,,903-411-64-68 (Ватсап)+тг
rubcovsk.aviastal.ru,Рубцовск,,,"8 (962) 058-31-76
(стар. 8 (385) 225-26-58)",9620583176;3852252658,rubcovsk@aviastal.ru,"просп. Ленина, 206",Россия,,89620583176.0
rybinsk.aviastal.ru,Рыбинск,,,8 (4852) 66-29-46,9033660443,rybinsk@aviastal.ru,"ул. Чкалова, 64",Россия,,89033660443.0
ryazan.aviastal.ru,Рязань,,,8 (487) 238-54-05,4872385405;9033660443,ryazan@aviastal.ru,"Татарская ул., 21",Россия,,89033660443.0
salavat.aviastal.ru,Салават,,,8 (347) 299-66-54,3472996654;9033660443,salavat@aviastal.ru,"Уфимская ул., 37А",Россия,,89033660443.0
samara.aviastal.ru,Самара,,,8(846)267-10-74,8462671074,samara@aviastal.ru,"ул. 22 партсъезда, д. 52, оф. 306",Россия,,903-366-04-43 (Ватсап)+тг
samarkand.aviastal.uz,Самарканд,,,,,samarkand.aviastal.uz,пока не делаем,Узбекистан,,
spb.aviastal.ru,Санкт-Петербург,7 (812) 986-86-68/962-686-86-68,7 (812) 986-86-68/962-686-86-68,8(812)986-43-38,8129864338;8129868668,spb@aviastal.ru,"ул. Возрождения, 31А, оф. 307а",Россия,,962-686-43-38 (Ватсап)
saransk.aviastal.ru,Саранск,,,8 (831) 414-40-86,8314144086;9625563974,saransk@aviastal.ru,"​Богдана Хмельницкого, 33",Россия,,89625563974.0
saratov.aviastal.ru,Саратов,7 (845) 240-03-18/902-710-03-18,7 (845) 240-03-18/902-710-03-18,8(845)253-11-49,8452531149;8452400318,saratov@aviastal.ru,ул. Буровая 20,Россия,,903-366-04-43 (Ватсап)+тг
sevastopol.aviastal.ru,Севастополь,,,8 (861) 944-64-68,8619446468;9034116468,sevastopol@aviastal.ru,"Портовая ул., 17",Россия,,89034116468.0
severodvinsk.aviastal.ru,Северодвинск,,,8 (812) 986-43-38,8129864338;9626864338,severodvinsk@aviastal.ru,"ул. Карла Маркса, 5А",Россия,,89626864338.0
seversk.aviastal.ru,Северск,,,"8 (962) 058-31-76
(стар. 8 (3822) 22-65-08)",9620583176,seversk@aviastal.ru,"Коммунистический просп., 8",Россия,,89620583176.0
semej.aviastal.kz,Семей,,,+7 700 6971612,7006971612,semej@aviastal.kz,"ул. Валиханова, 124",Казахстан,,700-770-49-63 (Ватсап)+тг
serpuhov.aviastal.ru,Серпухов,,,8 (495) 755-36-18,4957553618;9033660443,serpuhov@aviastal.ru,"Борисовское ш., 17А1",Россия,,89033660443.0
simferopol.aviastal.ru,Симферополь,,,8 (861) 944-64-68,8619446468;9034116468,simferopol@aviastal.ru,"просп. Победы, 28А",Россия,,89034116468.0
smolensk.aviastal.ru,Смоленск,,,8 (487) 238-54-05,4872385405;9033660443,smolensk@aviastal.ru,"улица Смольянинова, 23",Россия,,89033660443.0
sochi.aviastal.ru,Сочи,,,"8 (862) 291-70-17
(стар. 8 (861) 944-64-68)",8622917017;8619446468;9034116468,sochi@aviastal.ru,"Пригородная, 6​",Россия,,89034116468.0
stavropol.aviastal.ru,Ставрополь,,,"8 (8652) 69-20-29
(стар. 8 (861) 944-64-68)",8619446468;9034116468,stavropol@aviastal.ru,"ул. Тельмана, 41",Россия,,89034116468.0
staryj-oskol.aviastal.ru,Старый Оскол,,,8 (473) 251-41-03,4732514103;9033660443,staryj-oskol@aviastal.ru,"3, микрорайон Лесной",Россия,,89033660443.0
sterlitamak.aviastal.ru,Стерлитамак,,,8 (347) 299-66-54,3472996654;9033660443,sterlitamak@aviastal.ru,"ул. Мира, 55",Россия,,89033660443.0
sumgait.aviasteel.az,Сумгаит/Сумгайыт,,,,,Sumgait@AVIASTEEL.AZ,пока не делаем,Азербайджан,,
surgut.aviastal.ru,Сургут,,,8(346)290-50-88,3462905088,surgut@aviastal.ru,"ул. Маяковского, 57",Россия,,963-452-32-39  (Ватсап)+тг
syzran.aviastal.ru,Сызрань,,,8 (846) 267-10-74,8462671074;9033660443,syzran@aviastal.ru,"ул. Кирова, 54/25",Россия,,89033660443.0
syktyvkar.aviastal.ru,Сыктывкар,,,8 (843) 216-39-74,8432163974;9625563974,syktyvkar@aviastal.ru,"Первомайская ул., 92",Россия,,89625563974.0
syunik.aviastal.am,Сюник,,,,,syunik@aviastal.am,пока не делаем,Армения,,
tavush.aviastal.am,Тавуш,,,,,tavush@aviastal.am,пока не делаем,Армения,,
taganrog.aviastal.ru,Таганрог,,,8 (863) 206-68-85,8632066885;9034116468,taganrog@aviastal.ru,"​Гоголевский переулок, 6​",Россия,,89034116468.0
tambov.aviastal.ru,Тамбов,,,8 (473) 251-41-03,4732514103;9033660443,tambov@aviastal.ru,"​Моршанское шоссе, 14а",Россия,,89033660443.0
taraz.aviastal.kz,Тараз,,,+7 700 6971612,7006971612,taraz@aviastal.kz,"просп. Абая, 98",Казахстан,,700-770-49-63 (Ватсап)+тг
aviastal.uz,Ташкент,,,+998-90-063-86-88,900638688,info@aviastal.uz,"просп. Амира Темура, 107Б (С блок; 12 этаж)",Узбекистан,,998 90-063-86-88 (Ватсап) +тг
tver.aviastal.ru,Тверь,,,8 (495) 755-36-18,4957553618;9033660443,tver@aviastal.ru,"ул. Двор Пролетарки, 7",Россия,,89033660443.0
tokmak.aviastal.kg,Токмак,,,,,Tokmak@aviastal.kg,пока не делаем,Киргизия,,
tolyatti.aviastal.ru,Тольятти,,,8(848)271-33-94,8482713394,tolyatti@aviastal.ru,"ул. Комсомольская, д. 84А",Россия,,903-366-04-43 (Ватсап)+тг
tomsk.aviastal.ru,Томск,,,8(382)222-65-08,3822226508,tomsk@aviastal.ru,"ул. Розы Люксембург 102а/стр2, офис 201",Россия,,962-058-31-76  (Ватсап)+тг
tula.aviastal.ru,Тула,,,8(487)238-54-05,4872385405,tula@aviastal.ru,"ул. Пушкинская 19, стр.4, офис 102/1",Россия,,903-366-04-43 (Ватсап)+тг
tyumen.aviastal.ru,Тюмень,,,8(345)253-32-39,3452533239,tyumen@aviastal.ru,"ул. 50 Лет Октября, 118, оф. 208 (ошибочно был в договоре 218)",Россия,,963-452-32-39  (Ватсап)+тг
uzgen.aviastal.kg,Узген,,,,,Uzgen@aviastal.kg,пока не делаем,Киргизия,,
ulan-ude.aviastal.ru,Улан-Удэ,,,8 (3952) 57-93-87,9620583176,ulan-ude@aviastal.ru,"Улица Борсоева, 7а​",Россия,,89620583176.0
ulyanovsk.aviastal.ru,Ульяновск,,,"8 (8422) 73-05-02
(стар. 8 (843) 216-39-74)",8432163974;9625563974,ulyanovsk@aviastal.ru,"Московское ш., 92",Россия,,89625563974.0
uralsk.aviastal.kz,Уральск,,,+7 700 6971612,7006971612,uralsk@aviastal.kz,"просп. Абулхаир Хана, 6/2",Казахстан,,700-770-49-63 (Ватсап)+тг
ussuriysk.aviastal.ru,Уссурийск,,,"8(962) 058-31-76
(стар. 8 (4212) 60-19-28)",9620583176,ussuriysk@aviastal.ru,"Ленинградская ул., 27А",Россия,,89620583176.0
yk.aviastal.kz,Усть-Каменогорск,,,8(723)291-00-12,7232910012,ust-kamenogorsk@aviastal.kz,"проспект Абая, 156/1",Казахстан,,700-770-49-63 (Ватсап)+тг
ufa.aviastal.ru,Уфа,7 (347) 298-07-76/903-311-07-76,7 (347) 298-07-76/903-311-07-76,8(347)299-66-54,3472996654;3472980776,ufa@aviastal.ru,"Соединительное шоссе 2/2, 4/А",Россия,,903-366-04-43 (Ватсап)+тг
fergana.aviastal.uz,Фергана,,,,,fergana.aviastal.uz,пока не делаем,Узбекистан,,
khabarovsk.aviastal.ru,Хабаровск,,,8(421)260-19-28,4212601928,khabarovsk@aviastal.ru,ул. Радищева 8е,Россия,,962-058-31-76  (Ватсап)+тг
hanty-mansijsk.aviastal.ru,Ханты-Мансийск,,,8 (3462) 90-50-88,9033660443,hanty-mansijsk@aviastal.ru,"ул. Мира, 13",Россия,,89033660443.0
khasavyurt.aviastal.ru,Хасавюрт,,,8 (861) 944-64-68,8619446468;9034116468,khasavyurt@aviastal.ru,"Грозненская ул., 46",Россия,,89034116468.0
herson.aviastal.ru,Херсон,,,8(800)700-36-89,8007003689,herson@aviastal.ru,"Михайловская улица, 18",Украина,,903-366-04-43 (Ватсап)+тг
himki.aviastal.ru,Химки,,,8 (495) 755-36-18,4957553618;9033660443,himki@aviastal.ru,"Коммунальный пр., 30",Россия,,89033660443.0
cheboksary.aviastal.ru,Чебоксары,,,8 (843) 216-39-74,8432163974;9625563974,cheboksary@aviastal.ru,"ул. Текстильщиков, 8",Россия,,89625563974.0
chelyabinsk.aviastal.ru,Челябинск,,,8(351)216-65-31,3512166531,chelyabinsk@aviastal.ru,Троицкий тракт 48б офис 101  (наш юрадрес),Россия,,962-487-65-31 (Ватсап)+тг
cherepovets.aviastal.ru,Череповец,,,8 (4852) 66-29-46,9033660443,cherepovets@aviastal.ru,"Московский просп., 51А",Россия,,89033660443.0
cherkessk.aviastal.ru,Черкесск,,,8 (861) 944-64-68,8619446468;9034116468,cherkessk@aviastal.ru,"ул. Октябрьская, 301",Россия,,89034116468.0
chita.aviastal.ru,Чита,,,8 (3952) 57-93-87,9620583176,chita@aviastal.ru,"​Шилова, 35а",Россия,,89620583176.0
shahty.aviastal.ru,Шахты,,,8 (863) 206-68-85,8632066885;9034116468,shahty@aviastal.ru,"пер. Шишкина, 162",Россия,,89034116468.0
shymkent.aviastal.kz,Шымкент,,,8(725)260-35-68,7252603568;7007704963,shymkent@aviastal.kz,ул. Казиева 18а,Казахстан,,77007704963 (Ватсап)+тг
shchelkovo.aviastal.ru,Щёлково,,,8 (495) 755-36-18,4957553618;9033660443,shchelkovo@aviastal.ru,"Пролетарский просп., 8А",Россия,,89033660443.0
elektrostal.aviastal.ru,Электросталь,,,8 (495) 755-36-18,4957553618;9033660443,elektrostal@aviastal.ru,"улица Ялагина, 3",Россия,,89033660443.0
elista.aviastal.ru,Элиста,,,8 (844) 260-99-52,8442609952;9034116468,elista@aviastal.ru,"улица В.И. Ленина, 240",Россия,,89034116468.0
engels.aviastal.ru,Энгельс,,,8 (845) 253-11-49,8452531149;9033660443,engels@aviastal.ru,"ул. Маяковского, 29",Россия,,89033660443.0
yuzhno-sahalinsk.aviastal.ru,Южно-Сахалинск,,,8 (4212) 60-19-28,9620583176,yuzhno-sahalinsk@aviastal.ru,"просп. Мира, 29",Россия,,89620583176.0
yakutsk.aviastal.ru,Якутск,,,8 (4212) 60-19-28,9620583176,yakutsk@aviastal.ru,"ул. Кирова, 18В",Россия,,89620583176.0
yaroslavl.aviastal.ru,Ярославль,,,8(485)266-29-46,4852662946,yaroslavl@aviastal.ru,"ул. Полушкина роща, д. 9б",Россия,,903-366-04-43 (Ватсап)+тг
